"LID","Language","Stock","LowestSubBranch","MajorBranch","QuasiStock","SubBranch","LanguageAlternativeNames","Genesis","Longitude","Latitude","NearProtoHomeland","Modality","LocalRegion","SubSubBranch","StockAlternativeName","StockAllNames","LanguageAllNames","Subsistence","ISO639.3","Glottocode","OriginContinent","Continent","Area","Macrocontinent"
199,"Nama","Kwadi-Khoe",,"Khoekhoe",,,"Nama, Khoekhoe","regular",18,-25.5,"FALSE","spoken",,,"Central Khoisan","Kwadi-Khoe, Central Khoisan","Nama, Nama, Khoekhoe",,"naq","nama1264","Africa","Africa","S Africa","Africa"
148,"!Kung","Ju",,,,,"!Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka","regular",18,-19.67,"TRUE","spoken",,,"Northern Khoisan","Ju, Northern Khoisan","!Kung, !Xu, !Kung, 	!Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka",,"knw","kung1261","Africa","Africa","S Africa","Africa"
94,"Hadza","Hadza",,,,,"Hadza","regular",35.17,-3.75,"TRUE","spoken",,,,"Hadza","Hadza, Hadza","hunting/fishing/foraging","hts","hadz1240","Africa","Africa","S Africa","Africa"
347,"Sandawe","Sandawe",,,,,"Sandawe","regular",35,-5,"TRUE","spoken",,,,"Sandawe","Sandawe, Sandawe","hunting/fishing/foraging","sad","sand1273","Africa","Africa","S Africa","Africa"
151,"Kwadi","Kwadi-Khoe",,"Kwadi",,,"Kwadi, Cuepe, Curoca","regular",12,-16,"FALSE","spoken",,,"Central Khoisan","Kwadi-Khoe, Central Khoisan","Kwadi, Kwadi, Cuepe, Curoca",,"kwz","kwad1244","Africa","Africa","S Africa","Africa"
323,"Orig","Kordofanian",,,,,"Tegali,Orig, Rashad (Kom, Ngakom, Kome)","regular",31,13,"TRUE","spoken",,,,"Kordofanian","Orig, Tegali,Orig, Rashad (Kom, Ngakom, Kome)",,"ras","tega1236","Africa","Africa","African Savannah","Africa"
75,"Ewe","Kwa",,"Gbe","Niger-Congo",,"Ewe","regular",0.42,6.33,"TRUE","spoken",,,,"Kwa","Ewe, Ewe","agricultural/pastoral","ewe","ewee1241","Africa","Africa","African Savannah","Africa"
172,"Mandinka","Mande",,"West Mande","Macro-Niger-Congo",,"Mandinka","regular",-15.67,15,"FALSE","spoken",,,,"Mande","Mandinka, Mandinka",,"mnk","mand1436","Africa","Africa","African Savannah","Africa"
80,"Fula","North Atlantic","Fula",,"Macro-Niger-Congo",,"Fula","regular",-9,13,"TRUE","spoken",,"Peul-Serer, Peul-Sereer",,"North Atlantic","Fula, Fula","agricultural/pastoral","fub","adam1253","Africa","Africa","African Savannah","Africa"
305,"Ijo","Ijoid",,,"Macro-Niger-Congo",,"Ijo, Izon","regular",5.4,4.55,"TRUE","spoken",,,,"Ijoid","Ijo, Ijo, Izon",,"ijc","izon1238","Africa","Africa","African Savannah","Africa"
85,"Gbeya","Adamawa-Ubangi",,,"Niger-Congo",,"Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa","regular",15,5,"FALSE","spoken",,,,"Adamawa-Ubangi","Gbeya, Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa",,"gbp","gbay1287","Africa","Africa","African Savannah","Africa"
165,"Luganda","Benue-Congo",,"Bantoid","Niger-Congo","Bantu (narrow)","Luganda","regular",32.17,0.5,"FALSE","spoken",,,,"Benue-Congo","Luganda, Luganda","agricultural/pastoral","lug","gand1255","Africa","Africa","S Africa","Africa"
123,"Kanuri","Saharan",,,,,"Kanuri","regular",13,12,"TRUE","spoken",,,,"Saharan","Kanuri, Kanuri","agricultural/pastoral","kau","kanu1279","Africa","Africa","African Savannah","Africa"
81,"Fur","Fur",,,,,"Fur , For","regular",25,13.5,"TRUE","spoken",,,,"Fur","Fur, Fur , For",,"fvr","furr1244","Africa","Africa","African Savannah","Africa"
111,"Ik","Kuliak",,,,,"Ik","regular",34.17,3.75,"TRUE","spoken",,,,"Kuliak","Ik, Ik","agricultural/pastoral","ikx","ikkk1242","Africa","Africa","S Africa","Africa"
207,"Nera","Nera",,,"Eastern Sudanic",,"Nara , Nera","regular",37.58,15.08,"TRUE","spoken",,,,"Nera","Nera, Nara , Nera",,"nrb","nara1262","Africa","Africa","Greater Abyssinia","Africa"
69,"Nubian (Dongolese)","Nubian",,,"Eastern Sudanic",,"Nubian, Dongolese","regular",30.5,19,"TRUE","spoken",,,,"Nubian","Nubian (Dongolese), Nubian, Dongolese",,"dgl","nubi1251","Africa","Africa","N Africa","Africa"
159,"Lango","Nilotic",,"Western Nilotic","Eastern Sudanic","Lwo","Lango","regular",33,2.17,"FALSE","spoken",,"Southern Lwo",,"Nilotic","Lango, Lango",,"laj","lang1324","Africa","Africa","S Africa","Africa"
167,"Maa","Nilotic",,"Eastern Nilotic","Eastern Sudanic","Lotuko-Maa","Maa, Maasai","regular",36,-3,"FALSE","spoken",,,,"Nilotic","Maa, Maa, Maasai","agricultural/pastoral","mas","masa1300","Africa","Africa","S Africa","Africa"
299,"Nandi","Nilotic",,"Southern Nilotic","Eastern Sudanic",,"Nandi, Naandi, Cemual","regular",35,1,"TRUE","spoken",,,,"Nilotic","Nandi, Nandi, Naandi, Cemual",,"niq","nand1266","Africa","Africa","S Africa","Africa"
91,"Gumuz","Gumuz",,,"Koman-Gumuz",,"Gumuz","regular",35.83,11.5,"TRUE","spoken",,,,"Gumuz","Gumuz, Gumuz",,"guk","gumu1244","Africa","Africa","Greater Abyssinia","Africa"
421,"Yoruba","Benue-Congo",,"Yoruboid","Niger-Congo",,"Yoruba","regular",4.33,8,"FALSE","spoken",,,,"Benue-Congo","Yoruba, Yoruba","agricultural/pastoral","yor","yoru1245","Africa","Africa","African Savannah","Africa"
120,"Kabyle","Berber","Berber",,"Afroasiatic",,"Kabyle","regular",5,36.5,"FALSE","spoken",,,,"Berber","Kabyle, Kabyle","agricultural/pastoral","kab","kaby1243","Africa","Africa","N Africa","Africa"
98,"Hausa","Chadic","Hausa group","West Chadic","Afroasiatic","West - A (West Chadic)","Hausa","regular",18,12,"TRUE","spoken",,,,"Chadic","Hausa, Hausa","agricultural/pastoral","hau","haus1257","Africa","Africa","African Savannah","Africa"
121,"Kanakuru","Chadic","Bole-Angas group","West Chadic","Afroasiatic","West - A (West Chadic)","Kanakuru","regular",12,10,"FALSE","spoken",,,,"Chadic","Kanakuru, Kanakuru",,"kna","dera1248","Africa","Africa","African Savannah","Africa"
373,"Tera","Chadic",,"Biu-Mandara (Central Chadic)","Afroasiatic",,"Tera","regular",11.83,11,"FALSE","spoken",,,,"Chadic","Tera, Tera",,"ttr","tera1251","Africa","Africa","African Savannah","Africa"
294,"Egyptian (Ancient)","Egyptian",,,"Afroasiatic",,"Egyptian (Ancient)","regular",31,30,"TRUE","spoken",,,,"Egyptian","Egyptian (Ancient), Egyptian (Ancient)",,"egy","egyp1246","Africa","Africa","N Africa","Africa"
15,"Akkadian","Semitic",,"East Semitic","Afroasiatic","Akkadian","Akkadian","regular",44.37,32.5,"FALSE","spoken",,,,"Semitic","Akkadian, Akkadian",,"akk","akka1240","Africa","W and SW Eurasia","Greater Mesopotamia","Eurasia"
23,"Arabic","Semitic","Arabic","West Semitic","Afroasiatic","Central (West Semitic)","Arabic, Modern Standard Arabic","regular",31,30,"FALSE","spoken",,"South-Central Semitic",,"Semitic","Arabic, Arabic, Modern Standard Arabic",,"arb","stan1318","Africa","Africa","N Africa","Africa"
21,"Amharic","Semitic",,"West Semitic","Afroasiatic","Southern (West Semitic)","Amharic, Ethiopic","regular",38,10,"FALSE","spoken",,"Ethiopean",,"Semitic","Amharic, Amharic, Ethiopic",,"amh","amha1245","Africa","Africa","Greater Abyssinia","Africa"
65,"Dizi","Omotic",,,"Afroasiatic",,"Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin","regular",36.5,6.17,"TRUE","spoken",,,,"Omotic","Dizi, Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin",,"mdx","dizi1235","Africa","Africa","Greater Abyssinia","Africa"
324,"Oromo","Cushitic",,"Eastern Cushitic","Afroasiatic",,"Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu","regular",38,0,"FALSE","spoken",,,,"Cushitic","Oromo, Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu",,"hae","east2652","Africa","Africa","S Africa","Africa"
34,"Beja","Beja",,,"Afroasiatic",,"Beja","regular",36,18,"TRUE","spoken",,,,"Beja","Beja, Beja",,"bej","beja1238","Africa","Africa","N Africa","Africa"
360,"Sumerian","Sumerian",,,,,"Sumerian","regular",45,33,"TRUE","spoken",,,,"Sumerian","Sumerian, Sumerian",,"sux","sume1241","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
73,"Elamite","Elamite",,,,,"Elamite","regular",51,32,"TRUE","spoken",,,,"Elamite","Elamite, Elamite",,"elx","elam1244","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
